what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220427362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220621260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220627722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220631125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220652992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220655728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220657767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220703290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220706223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220708123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220715856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220755160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1314220775592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1314220782730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1314220785004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1314220812169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1314220813965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220814731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314220992560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314221023620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314224633552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1314224645314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1314224646414
